aphia_id,stock,sd,year,abundance_index,unit,source
126417,her.27.25-2932,25-27+28.2+29+32,2000,83056,million_ind_age1plus,ICES WGBIFS 2023 (Sci.Rep.5:70) Table 4.10 BIAS autumn acoustic age1+ tuning index
126417,her.27.25-2932,25-27+28.2+29+32,2006,74433,million_ind_age1plus,ICES WGBIFS 2023 (Sci.Rep.5:70) Table 4.10 BIAS autumn acoustic age1+ tuning index
126417,her.27.25-2932,25-27+28.2+29+32,2007,37650,million_ind_age1plus,ICES WGBIFS 2023 (Sci.Rep.5:70) Table 4.10 BIAS autumn acoustic age1+ tuning index
126417,her.27.25-2932,25-27+28.2+29+32,2009,51018,million_ind_age1plus,ICES WGBIFS 2023 (Sci.Rep.5:70) Table 4.10 BIAS autumn acoustic age1+ tuning index
126417,her.27.25-2932,25-27+28.2+29+32,2010,46331,million_ind_age1plus,ICES WGBIFS 2023 (Sci.Rep.5:70) Table 4.10 BIAS autumn acoustic age1+ tuning index
126417,her.27.25-2932,25-27+28.2+29+32,2011,46213,million_ind_age1plus,ICES WGBIFS 2023 (Sci.Rep.5:70) Table 4.10 BIAS autumn acoustic age1+ tuning index
126417,her.27.25-2932,25-27+28.2+29+32,2012,54244,million_ind_age1plus,ICES WGBIFS 2023 (Sci.Rep.5:70) Table 4.10 BIAS autumn acoustic age1+ tuning index
126417,her.27.25-2932,25-27+28.2+29+32,2013,60519,million_ind_age1plus,ICES WGBIFS 2023 (Sci.Rep.5:70) Table 4.10 BIAS autumn acoustic age1+ tuning index
126417,her.27.25-2932,25-27+28.2+29+32,2014,79860,million_ind_age1plus,ICES WGBIFS 2023 (Sci.Rep.5:70) Table 4.10 BIAS autumn acoustic age1+ tuning index
126417,her.27.25-2932,25-27+28.2+29+32,2015,116661,million_ind_age1plus,ICES WGBIFS 2023 (Sci.Rep.5:70) Table 4.10 BIAS autumn acoustic age1+ tuning index
126417,her.27.25-2932,25-27+28.2+29+32,2016,88025,million_ind_age1plus,ICES WGBIFS 2023 (Sci.Rep.5:70) Table 4.10 BIAS autumn acoustic age1+ tuning index
126417,her.27.25-2932,25-27+28.2+29+32,2017,68079,million_ind_age1plus,ICES WGBIFS 2023 (Sci.Rep.5:70) Table 4.10 BIAS autumn acoustic age1+ tuning index
126417,her.27.25-2932,25-27+28.2+29+32,2018,91182,million_ind_age1plus,ICES WGBIFS 2023 (Sci.Rep.5:70) Table 4.10 BIAS autumn acoustic age1+ tuning index
126417,her.27.25-2932,25-27+28.2+29+32,2019,43101,million_ind_age1plus,ICES WGBIFS 2023 (Sci.Rep.5:70) Table 4.10 BIAS autumn acoustic age1+ tuning index
