"species_id","species_name","species_code","functional_group"
"SP001","Detritus","DET_IND","Detritus"
"SP002","Autothroph_flagellat","AUT_FLA","Phytoplankton"
"SP003","Bacteria_indet","BAC_IND","Other"
"SP004","Diatom","DIATOM","Other"
"SP005","Heterotroph_flagellat","HET_FLA","Other"
"SP006","Ice_algae","ICE_ALG","Phytoplankton"
"SP007","Macroalgae","MAC_IND","Phytoplankton"
"SP008","Mixotroph_flagellates","MIX_FLA","Other"
"SP009","Phytoplankton_indet","PHY_IND","Phytoplankton"
"SP010","Protozooplankton","PROZOO","Zooplankton"
"SP011","Aglantha_digitale","AGL_DIG","Other"
"SP012","Apherusa_glacialis","APH_GLA","Other"
"SP013","Bolinopsis_infundibulum","BOL_INF","Other"
"SP014","Calanus_finmarchicus","CAL_FIN","Zooplankton"
"SP015","Calanus_glacialis","CAL_GLA","Zooplankton"
"SP016","Calanus_hyperboreus","CAL_HYP","Zooplankton"
"SP017","Clione_limacina","CLI_LIM","Other"
"SP018","Cyanea_capillata","CYA_CAP","Other"
"SP019","Dimophyes_arctica","DIM_ARC","Other"
"SP020","Eukrohnia_hamata","EUK_HAM","Other"
"SP021","Euphysa_flammea","EUP_FLAM","Other"
"SP022","Fritillaria_borealis","FRI_BOR","Other"
"SP023","Gammarus_wilkitzkii","GAM_WIL","Other"
"SP024","Limacina_helicina","LIM_HEL","Other"
"SP025","Mertensia_ovum","MER_OVU","Other"
"SP026","Metridia_longa","MET_LON","Other"
"SP027","Metridia_lucens","MET_LUC","Other"
"SP028","Microcalanus_spp","MIC_SPP","Zooplankton"
"SP029","Oikopleura_spp","OIK_SPP","Other"
"SP030","Oikopleura_vanhoeffeni","OIK_VAN","Other"
"SP031","Oithona_similis","OIT_SPI","Other"
"SP032","Onisimus_glacialis","ONI_GLA","Other"
"SP033","Onisimus_nanseni","ONI_NAN","Other"
"SP034","Pareuchaeta_glacialis","PAR_GLA","Other"
"SP035","Pareuchaeta_spp","PAR_SPP","Other"
"SP036","Pseudocalanus_spp","PSE_SPP","Zooplankton"
"SP037","Sagitta_spp","SAG_SPP","Other"
"SP038","Sarsia_spp","SAR_SPP","Other"
"SP039","Themisto_abyssorum","THE_ABY","Other"
"SP040","Themisto_libellula","THE_LIB","Other"
"SP041","Thysanoessa_inermis","THY_INE","Other"
"SP042","Thysanoessa_longicaudata","THY_LON","Other"
"SP043","Actiniaria_g_sp","ACT_G_SP","Other"
"SP044","Aglaophamus_malmgreni","AGL_MAL","Other"
"SP045","Aphelochaeta_marioni","APH_MAR","Other"
"SP046","Arrhis_phyllonyx","ARR_PHY","Other"
"SP047","Ascidiacea_g_sp","ASC_G_SP","Other"
"SP048","Astarte_sp","AST_SP","Other"
"SP049","Balanus_sp","BAL_SP","Other"
"SP050","Bathyarca_glacialis","BAT_GLA","Other"
"SP051","Bryozoa_indet","BRY_IND","Other"
"SP052","Benthos_larvae","BEN_LAR","Benthos"
"SP053","Buccinum_sp","BUC_SP","Other"
"SP054","Chaetozone_sp","CHA_SP","Other"
"SP055","Chionoecetes_opilio","CHI_OPI","Other"
"SP056","Chlamys_islandica","CHL_ISL","Other"
"SP057","Chone_sp","CHO_SP","Other"
"SP058","Ciona_intestinalis","CIO_INT","Other"
"SP059","Colus_sp","COL_SP","Other"
"SP060","Crossaster_papposus","CRO_PAP","Other"
"SP061","Ctenodiscus_crispatus","CTE_CRI","Other"
"SP062","Electra_arctica","ELE_ARC","Other"
"SP063","Foraminifera","FOR_IND","Other"
"SP064","Galathowenia_sp","GAL_SP","Other"
"SP065","Gammaridae_indet","GAM_IND","Other"
"SP066","Gonatus_fabricii","GON_FAB","Other"
"SP067","Gorgonocephalus_sp","GOR_SP","Other"
"SP068","Heliometra_glacialis","HEL_GLA","Other"
"SP069","Heteromastus_filiformis","HET_FIL","Other"
"SP070","Hyas_sp","HYA_SP","Other"
"SP071","Hydrozoa_indet","HYD_IND","Other"
"SP072","Maldane_sarsi","MAL_SAR","Other"
"SP073","Mendicula_ferruginosa","MEN_FER","Other"
"SP074","Molpadia_borealis","MOL_BOR","Other"
"SP075","Myriochele_herri","MYR_HEE","Other"
"SP076","Nephtheidae_sp","NEP_SP","Other"
"SP077","Ophiacantha bidentata","OPH_BID","Other"
"SP078","Ophiocten sericeum","OPH_SER","Other"
"SP079","Ophiopholis aculeata","OPH_ACU","Other"
"SP080","Ophiopleura borealis","OPH_BOR","Other"
"SP081","Ophioscolex glacialis","OPH_GLA","Other"
"SP082","Ophiura_sp","OPH_SP","Other"
"SP083","Ostracoda_indet","OST_IND","Fish"
"SP084","Pagurus_sp","PAG_SP","Other"
"SP085","Pandalus_borealis","PAN_BOR","Other"
"SP086","Paramphinome_jeffreysii","PAR_JEF","Other"
