"predator_id","prey_id","quality_code","source"
"SP001","SP015",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP025",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP035",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP044",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP045",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP046",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP047",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP048",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP050",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP051",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP052",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP054",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP055",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP057",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP059",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP060",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP061",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP062",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP063",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP064",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP066",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP067",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP068",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP070",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP072",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP073",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP074",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP076",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP077",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP078",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP079",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP081",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP082",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP083",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP084",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP085",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP086",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP087",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP088",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP089",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP090",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP091",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP095",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP096",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP099",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP100",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP101",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP102",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP103",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP107",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP137",1,"Kortsch et al. 2015 (Dryad)"
"SP001","SP140",1,"Kortsch et al. 2015 (Dryad)"
"SP002","SP005",1,"Kortsch et al. 2015 (Dryad)"
"SP002","SP009",1,"Kortsch et al. 2015 (Dryad)"
"SP002","SP010",1,"Kortsch et al. 2015 (Dryad)"
"SP002","SP015",1,"Kortsch et al. 2015 (Dryad)"
"SP002","SP025",1,"Kortsch et al. 2015 (Dryad)"
"SP002","SP036",1,"Kortsch et al. 2015 (Dryad)"
"SP002","SP039",1,"Kortsch et al. 2015 (Dryad)"
"SP002","SP040",1,"Kortsch et al. 2015 (Dryad)"
"SP002","SP041",1,"Kortsch et al. 2015 (Dryad)"
"SP002","SP042",1,"Kortsch et al. 2015 (Dryad)"
"SP002","SP047",1,"Kortsch et al. 2015 (Dryad)"
"SP002","SP056",1,"Kortsch et al. 2015 (Dryad)"
"SP002","SP057",1,"Kortsch et al. 2015 (Dryad)"
"SP002","SP058",1,"Kortsch et al. 2015 (Dryad)"
"SP002","SP063",1,"Kortsch et al. 2015 (Dryad)"
"SP002","SP073",1,"Kortsch et al. 2015 (Dryad)"
"SP002","SP075",1,"Kortsch et al. 2015 (Dryad)"
"SP002","SP078",1,"Kortsch et al. 2015 (Dryad)"
"SP002","SP084",1,"Kortsch et al. 2015 (Dryad)"
"SP002","SP103",1,"Kortsch et al. 2015 (Dryad)"
"SP002","SP105",1,"Kortsch et al. 2015 (Dryad)"
"SP002","SP149",1,"Kortsch et al. 2015 (Dryad)"
"SP003","SP005",1,"Kortsch et al. 2015 (Dryad)"
"SP003","SP007",1,"Kortsch et al. 2015 (Dryad)"
"SP003","SP009",1,"Kortsch et al. 2015 (Dryad)"
"SP003","SP013",1,"Kortsch et al. 2015 (Dryad)"
"SP003","SP019",1,"Kortsch et al. 2015 (Dryad)"
"SP003","SP028",1,"Kortsch et al. 2015 (Dryad)"
"SP003","SP029",1,"Kortsch et al. 2015 (Dryad)"
"SP003","SP046",1,"Kortsch et al. 2015 (Dryad)"
"SP003","SP053",1,"Kortsch et al. 2015 (Dryad)"
"SP003","SP063",1,"Kortsch et al. 2015 (Dryad)"
"SP003","SP065",1,"Kortsch et al. 2015 (Dryad)"
"SP003","SP068",1,"Kortsch et al. 2015 (Dryad)"
"SP003","SP094",1,"Kortsch et al. 2015 (Dryad)"
"SP004","SP010",1,"Kortsch et al. 2015 (Dryad)"
"SP004","SP015",1,"Kortsch et al. 2015 (Dryad)"
"SP004","SP016",1,"Kortsch et al. 2015 (Dryad)"
"SP004","SP017",1,"Kortsch et al. 2015 (Dryad)"
"SP004","SP025",1,"Kortsch et al. 2015 (Dryad)"
"SP004","SP028",1,"Kortsch et al. 2015 (Dryad)"
"SP004","SP031",1,"Kortsch et al. 2015 (Dryad)"
"SP004","SP035",1,"Kortsch et al. 2015 (Dryad)"
"SP004","SP042",1,"Kortsch et al. 2015 (Dryad)"
"SP004","SP044",1,"Kortsch et al. 2015 (Dryad)"
"SP004","SP047",1,"Kortsch et al. 2015 (Dryad)"
"SP004","SP058",1,"Kortsch et al. 2015 (Dryad)"
"SP004","SP059",1,"Kortsch et al. 2015 (Dryad)"
"SP004","SP062",1,"Kortsch et al. 2015 (Dryad)"
"SP004","SP063",1,"Kortsch et al. 2015 (Dryad)"
"SP004","SP065",1,"Kortsch et al. 2015 (Dryad)"
"SP004","SP067",1,"Kortsch et al. 2015 (Dryad)"
"SP004","SP073",1,"Kortsch et al. 2015 (Dryad)"
"SP004","SP078",1,"Kortsch et al. 2015 (Dryad)"
"SP004","SP081",1,"Kortsch et al. 2015 (Dryad)"
"SP004","SP084",1,"Kortsch et al. 2015 (Dryad)"
"SP004","SP087",1,"Kortsch et al. 2015 (Dryad)"
"SP004","SP089",1,"Kortsch et al. 2015 (Dryad)"
"SP004","SP091",1,"Kortsch et al. 2015 (Dryad)"
"SP004","SP095",1,"Kortsch et al. 2015 (Dryad)"
"SP004","SP096",1,"Kortsch et al. 2015 (Dryad)"
"SP004","SP099",1,"Kortsch et al. 2015 (Dryad)"
"SP004","SP100",1,"Kortsch et al. 2015 (Dryad)"
"SP004","SP103",1,"Kortsch et al. 2015 (Dryad)"
"SP004","SP105",1,"Kortsch et al. 2015 (Dryad)"
"SP004","SP106",1,"Kortsch et al. 2015 (Dryad)"
"SP004","SP122",1,"Kortsch et al. 2015 (Dryad)"
"SP004","SP149",1,"Kortsch et al. 2015 (Dryad)"
"SP005","SP009",1,"Kortsch et al. 2015 (Dryad)"
"SP005","SP010",1,"Kortsch et al. 2015 (Dryad)"
"SP005","SP015",1,"Kortsch et al. 2015 (Dryad)"
"SP005","SP025",1,"Kortsch et al. 2015 (Dryad)"
"SP005","SP039",1,"Kortsch et al. 2015 (Dryad)"
"SP005","SP040",1,"Kortsch et al. 2015 (Dryad)"
"SP005","SP041",1,"Kortsch et al. 2015 (Dryad)"
"SP005","SP042",1,"Kortsch et al. 2015 (Dryad)"
"SP005","SP047",1,"Kortsch et al. 2015 (Dryad)"
"SP005","SP056",1,"Kortsch et al. 2015 (Dryad)"
"SP005","SP058",1,"Kortsch et al. 2015 (Dryad)"
"SP005","SP063",1,"Kortsch et al. 2015 (Dryad)"
"SP005","SP073",1,"Kortsch et al. 2015 (Dryad)"
"SP005","SP078",1,"Kortsch et al. 2015 (Dryad)"
"SP005","SP084",1,"Kortsch et al. 2015 (Dryad)"
"SP005","SP103",1,"Kortsch et al. 2015 (Dryad)"
"SP005","SP105",1,"Kortsch et al. 2015 (Dryad)"
"SP005","SP122",1,"Kortsch et al. 2015 (Dryad)"
"SP005","SP149",1,"Kortsch et al. 2015 (Dryad)"
"SP006","SP042",1,"Kortsch et al. 2015 (Dryad)"
"SP006","SP078",1,"Kortsch et al. 2015 (Dryad)"
"SP006","SP087",1,"Kortsch et al. 2015 (Dryad)"
"SP006","SP104",1,"Kortsch et al. 2015 (Dryad)"
"SP007","SP009",1,"Kortsch et al. 2015 (Dryad)"
"SP007","SP010",1,"Kortsch et al. 2015 (Dryad)"
"SP007","SP047",1,"Kortsch et al. 2015 (Dryad)"
"SP007","SP149",1,"Kortsch et al. 2015 (Dryad)"
"SP008","SP009",1,"Kortsch et al. 2015 (Dryad)"
"SP008","SP015",1,"Kortsch et al. 2015 (Dryad)"
"SP008","SP016",1,"Kortsch et al. 2015 (Dryad)"
"SP008","SP017",1,"Kortsch et al. 2015 (Dryad)"
"SP008","SP020",1,"Kortsch et al. 2015 (Dryad)"
"SP008","SP022",1,"Kortsch et al. 2015 (Dryad)"
"SP008","SP023",1,"Kortsch et al. 2015 (Dryad)"
"SP008","SP024",1,"Kortsch et al. 2015 (Dryad)"
"SP008","SP026",1,"Kortsch et al. 2015 (Dryad)"
"SP008","SP027",1,"Kortsch et al. 2015 (Dryad)"
"SP008","SP028",1,"Kortsch et al. 2015 (Dryad)"
"SP008","SP029",1,"Kortsch et al. 2015 (Dryad)"
"SP008","SP030",1,"Kortsch et al. 2015 (Dryad)"
"SP008","SP031",1,"Kortsch et al. 2015 (Dryad)"
"SP008","SP032",1,"Kortsch et al. 2015 (Dryad)"
"SP008","SP036",1,"Kortsch et al. 2015 (Dryad)"
"SP008","SP038",1,"Kortsch et al. 2015 (Dryad)"
"SP008","SP044",1,"Kortsch et al. 2015 (Dryad)"
"SP008","SP046",1,"Kortsch et al. 2015 (Dryad)"
"SP008","SP048",1,"Kortsch et al. 2015 (Dryad)"
