"species_id","species_name","species_code","functional_group"
"SP001","Detritus","DET_IND","Detritus"
"SP002","Autothroph_flagellat","AUT_FLA","Phytoplankton"
"SP003","Bacteria_indet","BAC_IND","Other"
"SP004","Diatom","DIATOM","Other"
"SP005","Heterotroph_flagellat","HET_FLA","Other"
"SP006","Macroalgae","MAC_IND","Phytoplankton"
"SP007","Mixotroph_flagellates","MIX_FLA","Other"
"SP008","Phytoplankton_indet","PHY_IND","Phytoplankton"
"SP009","Protozooplankton","PROZOO","Zooplankton"
"SP010","Acartia_spp","ACA_SPP","Other"
"SP011","Aglantha_digitale","AGL_DIG","Other"
"SP012","Aurelia_aurita","AUR_AUR","Other"
"SP013","Beroe_sp","BER_SP","Other"
"SP014","Bolinopsis_infundibulum","BOL_INF","Other"
"SP015","Calanus_finmarchicus","CAL_FIN","Zooplankton"
"SP016","Calanus_glacialis","CAL_GLA","Zooplankton"
"SP017","Calanus_hyperboreus","CAL_HYP","Zooplankton"
"SP018","Clione_limacina","CLI_LIM","Other"
"SP019","Cyanea_capillata","CYA_CAP","Other"
"SP020","Dimophyes_arctica","DIM_ARC","Other"
"SP021","Eukrohnia_hamata","EUK_HAM","Other"
"SP022","Fritillaria_borealis","FRI_BOR","Other"
"SP023","Limacina_helicina","LIM_HEL","Other"
"SP024","Limacina_retroversa","LIM_RET","Other"
"SP025","Meganyctiphanes_norvegica","MEG_NOR","Other"
"SP026","Metridia_longa","MET_LON","Other"
"SP027","Nematoscelis_megalops","NEM_MEG","Other"
"SP028","Oikopleura_dioica","OIK_DIO","Other"
"SP029","Oikopleura_spp","OIK_SPP","Other"
"SP030","Oithona_similis","OIT_SPI","Other"
"SP031","Oithona_spinirostris/atlantica","OIT_SIM","Other"
"SP032","Oncaea_borealis","ONC_BOR","Other"
"SP033","Pareuchaeta_norvegica","PAR_NOR","Other"
"SP034","Pareuchaeta_spp","PAR_SPP","Other"
"SP035","Pseudocalanus_spp","PSE_SPP","Zooplankton"
"SP036","Sagitta_spp","SAG_SPP","Other"
"SP037","Sarsia_spp","SAR_SPP","Other"
"SP038","Themisto_abyssorum","THE_ABY","Other"
"SP039","Thysanoessa_inermis","THY_INE","Other"
"SP040","Thysanoessa_longicaudata","THY_LON","Other"
"SP041","Thysanoessa_raschii","THY_RAS","Other"
"SP042","Actiniaria_g_sp","ACT_G_SP","Other"
"SP043","Aglaophamus_malmgreni","AGL_MAL","Other"
"SP044","Aphelochaeta_marioni","APH_MAR","Other"
"SP045","Arrhis_phyllonyx","ARR_PHY","Other"
"SP046","Ascidiacea_g_sp","ASC_G_SP","Other"
"SP047","Asellota_indet","ASE_IND","Other"
"SP048","Astarte_sp","AST_SP","Other"
"SP049","Asterias_rubens","AST_RUB","Other"
"SP050","Balanus_sp","BAL_SP","Other"
"SP051","Bathyarca_galacialis","BAT_GLA","Other"
"SP052","Bryozoa_indet","BRY_IND","Other"
"SP053","Benthos_larvae","BEN_LAR","Benthos"
"SP054","Buccinum_sp","BUC_SP","Other"
"SP055","Chaetozone_sp","CHA_SP","Other"
"SP056","Chlamys_islandica","CHL_ISL","Other"
"SP057","Chone_sp","CHO_SP","Other"
"SP058","Ciona_intestinalis","CIO_INT","Other"
"SP059","Cirratulidae_indet","CIR_IND","Other"
"SP060","Colus_sp","COL_SP","Other"
"SP061","Ctenodiscus_crispatus","CTE_CRI","Other"
"SP062","Cucumaria_frondosa","CUC_FRO","Other"
"SP063","Erythrops_sp","ERY_SP","Other"
"SP064","Euclymeninae_indet","EUC_IND","Other"
"SP065","Foraminifera","FOR_IND","Other"
"SP066","Galathowenia_sp","GAL_SP","Other"
"SP067","Gammaridae_indet","GAM_IND","Other"
"SP068","Geodia_sp","GEO_SP","Other"
"SP069","Gonatus_fabricii","GON_FAB","Other"
"SP070","Heteromastus_filiformis","HET_FIL","Other"
"SP071","Hyas_sp","HYA_SP","Other"
"SP072","Hydrozoa_indet","HYD_IND","Other"
"SP073","Lumbriclymene_minor","LUM_MIN","Other"
"SP074","Lumbrineris_sp","LUM_SP","Other"
"SP075","Macoma_sp","MAC_SP","Other"
"SP076","Maldane_sarsi","MAL_SAR","Other"
"SP077","Mendicula_ferruginosa","MEN_FER","Other"
"SP078","Molpadia_borealis","MOL_BOR","Other"
"SP079","Myriochele_herri","MYR_HEE","Other"
"SP080","Nephtheidae_sp","NEP_SP","Other"
"SP081","Nyctiphanes_couchii","NYC_COU","Other"
"SP082","Ophiopholis_aculeata","OPH_ACU","Other"
"SP083","Ophiura_sp","OPH_SP","Other"
"SP084","Ostracoda_indet","OST_IND","Fish"
"SP085","Pagurus_sp","PAG_SP","Other"
"SP086","Pandalus_borealis","PAN_BOR","Other"
"SP087","Paralithodes_camtschaticus","PAR_CAM","Other"
