"species_id","species_name","feeding_type","mobility","functional_group"
"SP001","Phaeocystis pouchetii","none",1,"pelagic"
"SP002","Chaetoceros socialis","none",1,"pelagic"
"SP003","Thalassiosira nordenskioeldii","none",1,"pelagic"
"SP004","Fragilariopsis","none",1,"pelagic"
"SP005","Protoperidinium","none",1,"pelagic"
"SP006","Gymnodinium","none",1,"pelagic"
"SP007","Dinobryon balticum","none",2,"pelagic"
"SP008","Thalassiosira antarctica","none",1,"pelagic"
"SP009","Cylindrotheca closterium","none",1,"pelagic"
"SP010","Chaetoceros","none",1,"pelagic"
"SP011","Coccolithus pleagicus","none",1,"pelagic"
"SP012","Globoquadriana pachyderma","none",1,"pelagic"
"SP013","Globigerinita bradyi","none",1,"pelagic"
"SP014","Globigerina quinqueloba","none",1,"pelagic"
"SP015","Nitzschia frigida","none",1,"pelagic"
"SP016","Pleurosigma stuxbergii","none",1,"pelagic"
"SP017","Navicula pelagica","none",1,"pelagic"
"SP018","Entomoneis","none",1,"pelagic"
"SP019","Cocconeis","none",1,"pelagic"
"SP020","Dinophysis acuta","none",1,"pelagic"
"SP021","Gyrodinium","predator",2,"pelagic"
"SP022","Calanus finnmarchicus","predator",4,"pelagic"
"SP023","Onacea borealis","predator",4,"pelagic"
"SP024","Bradyidius similis","predator",4,"pelagic"
"SP025","Microcalanus pusillus","predator",4,"pelagic"
"SP026","Copepoda nauplii","predator",4,"pelagic"
"SP027","Metridia longa","predator",4,"pelagic"
"SP028","Metridia lucens","predator",4,"pelagic"
"SP029","Calanus glacialis","predator",4,"pelagic"
"SP030","Calanus hyperboreus","predator",4,"pelagic"
"SP031","Pseudocalanus","predator",4,"pelagic"
"SP032","Oithona similis","predator",4,"pelagic"
"SP033","Fritillaria","predator",4,"pelagic"
"SP034","Clione limacina","predator",4,"pelagic"
"SP035","Limacina helicina","predator",4,"pelagic"
"SP036","Gaidius tenuispinus","predator",4,"pelagic"
"SP037","Xanthocalanus","predator",4,"pelagic"
"SP038","Thysanoessa raschii","predator",4,"pelagic"
"SP039","Thysanoessa longicaudata","predator",4,"pelagic"
"SP040","Thysanoessa inermis","grazer",4,"epipelagic/ice associated"
"SP041","Themisto libellula","predator",4,"pelagic"
"SP042","Themisto abyssorum","predator",4,"pelagic"
"SP043","Boremysis arctica","predator",4,"pelagic"
"SP044","Neoscolecithrix farrani","grazer",4,"benthic"
"SP045","Mertensia ovum","predator",4,"pelagic"
"SP046","Beroe cucumis","predator",4,"pelagic"
"SP047","Meganyctiphanes norvegica","predator",4,"pelagic"
"SP048","Boreomysis arctica","predator",4,"benthic"
"SP049","Fucus distichus","none",1,"benthic"
"SP050","Pylaiella littoralis","none",1,"benthic"
"SP051","Chordaria flagelliformis","none",1,"benthic"
"SP052","Acrosiphonia","none",1,"benthic"
"SP053","Alaria esculenta","none",1,"benthic"
"SP054","Laminaria saccharina","none",1,"benthic"
"SP055","Laminaria digitata","none",1,"benthic"
"SP056","Saccorhiza dermatodea","none",1,"benthic"
"SP057","Laminaria solidungula","none",1,"benthic"
"SP058","Phycodrys rubens","none",1,"benthic"
"SP059","Ptilta gunneri","none",1,"benthic"
"SP060","Fimbrifolium dichotomum","none",1,"benthic"
"SP061","Desmarestia aculeata","none",1,"benthic"
"SP062","Palmaria palmata","none",1,"benthic"
"SP063","Devaleraea ramentacea","none",1,"benthic"
"SP064","Turnerella pennyi","none",1,"benthic"
"SP065","Desmarestia viridis","none",1,"benthic"
"SP066","Balanus balanus","suspension feeder",1,"benthic"
"SP067","Semibalanus balanoides","suspension feeder",1,"benthic"
"SP068","Littorina saxatilis","predator",2,"benthic"
"SP069","Ischyroceros","grazer",3,"benthic"
"SP070","Gammarus setosus","grazer",3,"benthic"
"SP071","Gammarellus homari","predator",3,"benthic"
"SP072","Onisimus littoralis","grazer",3,"benthic"
"SP073","Anonyx nugax","predator",3,"benthic"
"SP074","Anonyx sarsi","predator",3,"benthic"
"SP075","Arrhis phyllonyx","predator",3,"benthic"
"SP076","Brachydiastylis resima","grazer",3,"benthic"
"SP077","Caprella septentrionalis","grazer",3,"benthic"
"SP078","Corophium crassicorne","grazer",3,"benthic"
"SP079","Diastylis goodsiri","grazer",3,"benthic"
"SP080","Diastylis lucifera","grazer",3,"benthic"
"SP081","Diastylis rathkii","grazer",3,"benthic"
"SP082","Eryhtrops erythropthalma","grazer",3,"benthic"
"SP083","Eualus gaimardi","predator",3,"benthic"
"SP084","Halirages fulvocinctus","grazer",3,"benthic"
"SP085","Hyas araneus","predator",3,"benthic"
"SP086","Ischyrocerus anguipes","grazer",3,"benthic"
"SP087","Janira","grazer",3,"benthic"
"SP088","Lamprops fuscatus","grazer",3,"benthic"
"SP089","Lebbeus polaris","predator/scavenger",3,"benthic"
"SP090","Melita dentata","grazer",3,"benthic"
"SP091","Melita formosa","grazer",3,"benthic"
"SP092","Melita palmata","grazer",3,"benthic"
"SP093","Monoculodes borealis","predator/scavenger",3,"benthic"
"SP094","Monoculodes longirostris","predator/scavenger",3,"benthic"
"SP095","Munna","grazer",3,"benthic"
"SP096","Munnopsis","grazer",3,"benthic"
"SP097","Mysis oculata","grazer",3,"benthic"
"SP098","Onisimus caricus","grazer",3,"benthic"
"SP099","Onisimus edwardsi","grazer",3,"benthic"
