"predator_id","prey_id","quality_code","source"
"SP001","SP008",1,"Frelat et al. 2022"
"SP002","SP017",1,"Frelat et al. 2022"
"SP003","SP017",1,"Frelat et al. 2022"
"SP004","SP017",1,"Frelat et al. 2022"
"SP005","SP017",1,"Frelat et al. 2022"
"SP006","SP017",1,"Frelat et al. 2022"
"SP007","SP017",1,"Frelat et al. 2022"
"SP008","SP017",1,"Frelat et al. 2022"
"SP001","SP002",1,"Frelat et al. 2022"
"SP009","SP002",1,"Frelat et al. 2022"
"SP010","SP032",1,"Frelat et al. 2022"
"SP011","SP032",1,"Frelat et al. 2022"
"SP012","SP032",1,"Frelat et al. 2022"
"SP013","SP033",1,"Frelat et al. 2022"
"SP010","SP033",1,"Frelat et al. 2022"
"SP011","SP033",1,"Frelat et al. 2022"
"SP012","SP033",1,"Frelat et al. 2022"
"SP001","SP033",1,"Frelat et al. 2022"
"SP010","SP028",1,"Frelat et al. 2022"
"SP011","SP028",1,"Frelat et al. 2022"
"SP012","SP028",1,"Frelat et al. 2022"
"SP014","SP028",1,"Frelat et al. 2022"
"SP001","SP028",1,"Frelat et al. 2022"
"SP015","SP028",1,"Frelat et al. 2022"
"SP009","SP028",1,"Frelat et al. 2022"
"SP016","SP028",1,"Frelat et al. 2022"
"SP002","SP034",1,"Frelat et al. 2022"
"SP001","SP034",1,"Frelat et al. 2022"
"SP015","SP034",1,"Frelat et al. 2022"
"SP009","SP034",1,"Frelat et al. 2022"
"SP016","SP034",1,"Frelat et al. 2022"
"SP015","SP035",1,"Frelat et al. 2022"
"SP015","SP036",1,"Frelat et al. 2022"
"SP017","SP037",1,"Frelat et al. 2022"
"SP018","SP037",1,"Frelat et al. 2022"
"SP019","SP037",1,"Frelat et al. 2022"
"SP015","SP037",1,"Frelat et al. 2022"
"SP009","SP037",1,"Frelat et al. 2022"
"SP003","SP003",1,"Frelat et al. 2022"
"SP001","SP003",1,"Frelat et al. 2022"
"SP015","SP003",1,"Frelat et al. 2022"
"SP009","SP003",1,"Frelat et al. 2022"
"SP020","SP003",1,"Frelat et al. 2022"
"SP016","SP003",1,"Frelat et al. 2022"
"SP002","SP004",1,"Frelat et al. 2022"
"SP003","SP004",1,"Frelat et al. 2022"
"SP021","SP004",1,"Frelat et al. 2022"
"SP001","SP004",1,"Frelat et al. 2022"
"SP015","SP004",1,"Frelat et al. 2022"
"SP009","SP004",1,"Frelat et al. 2022"
"SP020","SP004",1,"Frelat et al. 2022"
"SP016","SP004",1,"Frelat et al. 2022"
"SP002","SP005",1,"Frelat et al. 2022"
"SP003","SP005",1,"Frelat et al. 2022"
"SP022","SP005",1,"Frelat et al. 2022"
"SP023","SP005",1,"Frelat et al. 2022"
"SP001","SP005",1,"Frelat et al. 2022"
"SP015","SP005",1,"Frelat et al. 2022"
"SP009","SP005",1,"Frelat et al. 2022"
"SP020","SP005",1,"Frelat et al. 2022"
"SP016","SP005",1,"Frelat et al. 2022"
"SP003","SP006",1,"Frelat et al. 2022"
